2024-05-01 03:13:39.922 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-05-01 03:13:39.945 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-05-01 03:13:40.148 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-05-01 03:13:40.216 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-05-01 03:14:12.848 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-05-01 03:14:12.859 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-05-01 03:14:13.027 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-05-01 03:14:13.090 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-05-01 03:14:13.531 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-05-01 03:14:13.532 [main] INFO  skf.core.SEEHLAModule - Join the federate ' BSF Spaceport ' into the Federation execution ' SEE 2024 '.
2024-05-01 03:14:13.825 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - Synchronization point announced: INITIALIZATION_COMPLETED
2024-05-01 03:14:13.833 [main] INFO  skf.core.SEEHLAModule - Asynchronous delivery enabled.
2024-05-01 03:14:13.833 [main] INFO  skf.core.SEEHLAModule - Subscribed to the Subject
2024-05-01 03:14:13.851 [main] INFO  skf.core.SEEHLAModule - The ObjectClass 'class skf.model.object.executionConfiguration.ExecutionConfiguration' has been subscribed.
2024-05-01 03:14:13.873 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<102>, ObjectClassHandle: objectClass<9>, Name: ExCO, FederateHandle: null
2024-05-01 03:14:13.908 [main] INFO  skf.core.SEEHLAModule - The Interaction ' ModeTransitionRequest [execution_mode=null] ' has been published.
2024-05-01 03:15:37.460 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-05-01 03:15:37.475 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-05-01 03:15:37.683 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-05-01 03:15:37.744 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
