2024-04-10 16:08:42.975 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-04-10 16:08:42.986 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-04-10 16:08:43.108 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-04-10 16:08:43.155 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-04-10 16:08:43.489 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-04-10 16:08:43.491 [main] INFO  skf.core.SEEHLAModule - Join the federate ' TestCommHub ' into the Federation execution ' SEE 2024 '.
2024-04-10 16:22:35.896 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-04-10 16:22:35.906 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-04-10 16:22:36.030 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-04-10 16:22:36.078 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-04-10 16:22:36.421 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-04-10 16:22:36.423 [main] INFO  skf.core.SEEHLAModule - Join the federate ' TestCommHub ' into the Federation execution ' SEE 2024 '.
2024-04-10 16:25:01.001 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-04-10 16:25:01.016 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-04-10 16:25:01.145 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-04-10 16:25:01.193 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-04-10 16:25:01.536 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-04-10 16:25:01.538 [main] INFO  skf.core.SEEHLAModule - Join the federate ' TestCommHub ' into the Federation execution ' SEE 2024 '.
2024-04-10 16:25:42.133 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
